objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
col12_00015,Figaro Under the Christmas Tree,Meridian Library District,1977,"Figaro, the Meridian Library Cat, lays down under the library Christmas Tree.","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 52",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00015.jpg,/objects/small/col012_mldimages_00015_sm.jpg,/objects/thumbs/col012_mldimages_00015_th.jpg,,
col12_00016,Figaro Greets Library Patrons at the Front Door,Meridian Library District,1977,"Figaro, the Meridian Library Cat, stands outside the main entrance of the Meridian library building located at Meridian & Idaho streets. ","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 52",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00016.jpg,/objects/small/col012_mldimages_00016_sm.jpg,/objects/thumbs/col012_mldimages_00016_th.jpg,,
col12_00017,Meridian Birthday Parade (Meridian Library Section),Meridian Library District,1978-07-27,"Meridian's 75th Birthday Parade, July 27, 1978. Judy Olson seen carrying the ""Meridian Free Library"" sign.","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 56",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00017.jpg,/objects/small/col012_mldimages_00017_sm.jpg,/objects/thumbs/col012_mldimages_00017_th.jpg,,
col12_00018,Meridian Birthday Parade (Meridian Library Section),Meridian Library District,1978-07-27,"Meridian's 75th Birthday Parade, July 27, 1978. Laura Rabehl can be seen on the three-wheel bike with her twin daughters in the wagon; Eleanor Arndt is walking in the jeans and cowboy hat; Nancy Spear is in the light blue pantsuit; Pat Rabehl is in the straw hat; Shelly Olsen is in the baseball uniform; and Fern Wilson is in the dark blue pantsuit. A child can be seen holding up a sign with a picture of Figaro, the Meridian Library Cat. ","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 56",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00018.jpg,/objects/small/col012_mldimages_00018_sm.jpg,/objects/thumbs/col012_mldimages_00018_th.jpg,,
col12_00019,Meridian Birthday Parade (Meridian Library Section),Meridian Library District,1978-07-27,"Meridian's 75th Birthday Parade, July 27, 1978. Everett Arndt drives the ""Wagon Works"" truck, while Chris Kennedy sits at the table reading. Sarah (last name unknown) is one of the other children in the back of the truck. ","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 56",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00019.jpg,/objects/small/col012_mldimages_00019_sm.jpg,/objects/thumbs/col012_mldimages_00019_th.jpg,,
col12_00020,Kay Newell Storyteller,Meridian Library District,1982,"Kay Newell reads during a library storytime, 1982.  ","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 68",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00020.jpg,/objects/small/col012_mldimages_00020_sm.jpg,/objects/thumbs/col012_mldimages_00020_th.jpg,,
col12_00021,Carl Rathjen,Meridian Library District,1982,"Carl Rathjen, who helped create the Meridian Library's Idaho Collection, 1982. ","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 74",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00021.jpg,/objects/small/col012_mldimages_00021_sm.jpg,/objects/thumbs/col012_mldimages_00021_th.jpg,,
col12_00022,Roben Joy with Rabbit,Meridian Library District,1982,"Meridian Library clerk-typist Roben Joy with ""Baby"" the rabbit. ","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 75",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00022.jpg,/objects/small/col012_mldimages_00022_sm.jpg,/objects/thumbs/col012_mldimages_00022_th.jpg,,
col12_00023,Meridian Library's First Annual Pet Parade,Meridian Library District,1982-05-06,"Meridian Library's First Annual Pet Parade, May 6, 1982. Featured in the photo are: Robin Rice, Amy Brown, Tammy Heinzel, Kendall Matuszek, Kerri Matuszek, Gina Marie Brown, Vernell Smith, Holli Boyd, and the pets (the stars of the show), Cocoa, Chrissy, Mr. Three, and Regis. ","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 75",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00023.jpg,/objects/small/col012_mldimages_00023_sm.jpg,/objects/thumbs/col012_mldimages_00023_th.jpg,,
col12_00024,Idaho Collection Sign ,Meridian Library District,1982,"Nancy Sage and Carl Rathjen helped create The Idaho Collection within the Meridian Library, featuring books about Idaho (circa 1982). ","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 76",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00024.jpg,/objects/small/col012_mldimages_00024_sm.jpg,/objects/thumbs/col012_mldimages_00024_th.jpg,,
col12_00025,Idaho Collection Event,Meridian Library District,1982,"Carl Rathjen, Jack Riddlemoser, and Nancy Sage at an event opening up the Idaho Collection at the Meridian Library (circa 1982). ","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 77",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00025.jpg,/objects/small/col012_mldimages_00025_sm.jpg,/objects/thumbs/col012_mldimages_00025_th.jpg,,
col12_00026,Leone Lund Doll Collection,Meridian Library District,1982,"Leone Lund, the Occident Club President, displays her doll collection in the Meridian Library. ","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 77",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00026.jpg,/objects/small/col012_mldimages_00026_sm.jpg,/objects/thumbs/col012_mldimages_00026_th.jpg,,
col12_00027,Painting a Mural on the Library Wall ,Meridian Library District,1982,Individuals gather to help create a mural for the Meridian Library wall,"Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 80",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00027.jpg,/objects/small/col012_mldimages_00027_sm.jpg,/objects/thumbs/col012_mldimages_00027_th.jpg,,
col12_00028,Painting a Mural on the Library Wall ,Meridian Library District,1982,Individuals gather to help create a mural for the Meridian Library wall,"Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 81",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00028.jpg,/objects/small/col012_mldimages_00028_sm.jpg,/objects/thumbs/col012_mldimages_00028_th.jpg,,
col12_00029,Painting a Mural on the Library Wall ,Meridian Library District,1982,"Individuals gathered to help create a mural for the Library Wall. The artists were: Laura Hall, Jon Anderson, Shauna Jorgensen, Teresa Jorgensen, Ron Harrison, Lois Collinsworth, and Teresa Gasaway","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 82",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00029.jpg,/objects/small/col012_mldimages_00029_sm.jpg,/objects/thumbs/col012_mldimages_00029_th.jpg,,
col12_00030,First Grade Class Visits the Library,Meridian Library District,1982,"In May of 1982, Pam Blount's first grad class visits the Meridian Library.","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 83",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00030.jpg,/objects/small/col012_mldimages_00030_sm.jpg,/objects/thumbs/col012_mldimages_00030_th.jpg,,
col12_00031,Meridian Library Castle Event,Meridian Library District,1982,"Meridian Library employees stand outside the library during a Castle Day Event. From left to right: Roben, Nancy, Evelyn, and Kay","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 85",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00031.jpg,/objects/small/col012_mldimages_00031_sm.jpg,/objects/thumbs/col012_mldimages_00031_th.jpg,,
col12_00032,Meridian Library Castle Event,Meridian Library District,1982,"Meridian Library employees stand outside the library during a Castle Day Event. From left to right: Roben, Nancy, Gaye, and Evelyn ","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 85",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00032.jpg,/objects/small/col012_mldimages_00032_sm.jpg,/objects/thumbs/col012_mldimages_00032_th.jpg,,
col12_00033,Summer Reading Program ,Meridian Library District,1982,Patrons gather around for a Summer Reading Program event in 1982.,"Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 87",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00033.jpg,/objects/small/col012_mldimages_00033_sm.jpg,/objects/thumbs/col012_mldimages_00033_th.jpg,,
col12_00034,George Early talks about Great Britian,Meridian Library District,1982,"At a Summer Reading Program, George Early discusses the culture of Great Britian. Amy Harkarietch is helping to hold the map.","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 88",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00034.jpg,/objects/small/col012_mldimages_00034_sm.jpg,/objects/thumbs/col012_mldimages_00034_th.jpg,,
col12_00035,Ruth Harkarietch at Summer Reading Program,Meridian Library District,1982,Ruth Harkarietch attends a Summer Reading Program where George Early discusses the culture of Great Britian. Ruth can be seen here wearing a British bearskin hat.,"Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 88",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00035.jpg,/objects/small/col012_mldimages_00035_sm.jpg,/objects/thumbs/col012_mldimages_00035_th.jpg,,
col12_00036,George Early Holds Bagpipes ,Meridian Library District,1982,"At a Summer Reading Program, George Early discusses the culture of Great Britian. George Early appears to be holding a set of bagpipes. ","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 88",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00036.jpg,/objects/small/col012_mldimages_00036_sm.jpg,/objects/thumbs/col012_mldimages_00036_th.jpg,,
col12_00037,Summer Reading Program,Meridian Library District,1982,Patrons gather around for a Summer Reading Program event in 1982.,"Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 89",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00037.jpg,/objects/small/col012_mldimages_00037_sm.jpg,/objects/thumbs/col012_mldimages_00037_th.jpg,,
col12_00038,Good Bear Day,Meridian Library District,1982-10-27,"Librarian reading to children on ""Good Bear Day"" October 27, 1982. On Good Bear Day the children bring their teddy bears with them to the storytime.","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 3, Page 04",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00038.jpg,/objects/small/col012_mldimages_00038_sm.jpg,/objects/thumbs/col012_mldimages_00038_th.jpg,,
col12_00039,Children Listen To Storytime on Good Bear Day,Meridian Library District,1982-10-27,"Children listen to storytime on Good Bear Day while holding onto their teddy bears, October 27, 1982. ","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 3, Page 04",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00039.jpg,/objects/small/col012_mldimages_00039_sm.jpg,/objects/thumbs/col012_mldimages_00039_th.jpg,,
col12_00040,Little Girl Listens to Storytime with Teddy Bear,Meridian Library District,1982-10-27,"Little girl listens to storytime holding her teddy bear, October 27, 1982.","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 3, Page 05",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00040.jpg,/objects/small/col012_mldimages_00040_sm.jpg,/objects/thumbs/col012_mldimages_00040_th.jpg,,
col12_00041,Kids attend Good Bear Day Storytime,Meridian Library District,1982-10-27,"Several kids interact with Good Bear Day storytime, October 27, 1982. ","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 3, Page 05",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00041.jpg,/objects/small/col012_mldimages_00041_sm.jpg,/objects/thumbs/col012_mldimages_00041_th.jpg,,
col12_00042,Good Bear Day,Meridian Library District,1982-10-27,"Several kids participate in Good Bear Day storytime, October 27, 1982.","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 3, Page 05",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00042.jpg,/objects/small/col012_mldimages_00042_sm.jpg,/objects/thumbs/col012_mldimages_00042_th.jpg,,
